ID,经济信息.SteamID,名称,类型,等级,星舰介绍文案,生命,射程,最大前进速度,隐蔽,吨位,引擎出力,空,*WQZ1 名,炮塔数,WQZ1 射速,WQZ1 扩散系数,*WQZ2 名,炮塔数,WQZ2 射速,WQZ2 扩散系数,*WQZ3 名,炮塔数,WQZ3 射速,WQZ3 扩散系数,AA,炮塔数,射程,空,舰船描述 值=0就无此词条,生存描述,值,火力描述,值,机动描述,值,隐蔽描述,值,防空描述,值,舰载机描述,值,舰载导弹描述,值,舰载鱼雷描述,值,空
AFKship,0,观光船,???,10,观光船，由dd01改进得来， 没有任何战斗手段,11451,10,1750,50,150000,1.5,/,单装速射炮,2,2,1,/,0,/,/,/,0,/,/,/,/,/,/,/,生命值: 11451吨位: 150000,9,,16,引擎功率: 1.5最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 175最大后退速度: 35最大左翻滚速度: 0.1最大右翻滚速度: 0.1,37,星舰被发现距离: 50,73,???,0,???,0,???,0,???,0,/
AIdefault_net,0,AIdefault_net,???,1,为了应对各种战斗情况，在1A的基础上增加了一座炮塔，火力得到加强。,9640,10,17.5,100,150000,1.1,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
BB01AT9,0,战列01A IX,???,9,装甲强力的战列舰,120000,10,17.5,250,1000000,0.8,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
BB02A,0,战列01A,???,2,装甲强力的战列舰,36000,10,17.5,200,350000,0.8,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
CL01AT9 TJ2,0,突击巡洋1,???,9,火力强劲的老式巡洋舰。,56000,10,17.5,130,250000,1.25,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
CL02AT9,0,CL02A IX,???,9,高速巡洋舰，在01B高速驱逐舰的基础上继续改进引擎与增加炮塔。,26800,10,17.5,240,250000,1.1,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
JJBB01T,0,狙击BBtest,???,9,狙击特化战列舰,96000,10,17.5,180,700000,0.5,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,生命值: 96000吨位: 700000,99,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
JR01,0,军刃ST1,???,9,"全名战争军刃 是泰坦联合体的制式战列舰。有着多种型号的外挂组件，通过外挂组件的添加，军刃级可以提供非常灵活的战术支援。
导弹反舰型号
搭载了大量的反旗舰导弹，可以对其舰群造成饱和式打击。同时通过友军的制导可以打击到更远的敌军。
轴炮型号
装载了两门大口径轴炮，在充分充能的情况下可以对敌方同级舰船造成毁灭性的打击，但同样的散热系统散出极高的热量辐射也让他必须在舰队的掩护下才能安全输出。",92288,10,17.5,210,800000,0.5,/,/,0,/,/,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
MAAU01_1,0,奥斯汀侯爵级,???,9,威赫斯帝国的标准战列舰，以优秀的机动性和火力输出能力文明与世界。同时宽大的船体可以塞下各类武器。尽管配备了相当体积的装甲防护，可以为舰船提供相当的火炮防御，但其未获得装甲板保护的地方其防御能力相当孱弱。,72897,10,17.5,250,960000,0.5,/,340 实弹炮 1型 N,6,6,30,/,0,/,/,/,0,/,/,/,/,/,/,/,不用填写,0,???,0,不用填写,0,不用填写,0,???,0,???,0,???,0,???,0,/
MAAU01_2改 Variant,0,奥斯汀侯爵级-2,???,9,威赫斯帝国的标准战列舰，以优秀的机动性和火力输出能力文明与世界。同时宽大的船体可以塞下各类武器。尽管配备了相当体积的装甲防护，可以为舰船提供相当的火炮防御，但其未获得装甲板保护的地方其防御能力相当孱弱。,72897,10,28,250,960000,0.5,/,2700 实弹炮 1型 N,7,7,45,/,0,/,/,/,0,/,/,/,/,/,/,/,生命值: 72897吨位: 960000,62,,58,引擎功率: 0.5最大左转速度: 0.1最大右转速度: 0.1最大上速度: 0.1最大下速度: 0.1最大前进速度: 2.8最大后退速度: 1.75最大左翻滚速度: 0.1最大右翻滚速度: 0.1,24,星舰被发现距离: 250,30,???,0,???,0,???,0,???,0,/
